agency_cd,site_no,datetime,tz_cd,211794_00060,211794_00060_cd
47,09112200,1993-10-01,MDT,140.80851063829786,47
48,09112200,1993-10-02,MDT,138.125,48
48,09112200,1993-10-03,MDT,135.875,48
48,09112200,1993-10-04,MDT,133.08333333333334,48
48,09112200,1993-10-05,MDT,129.10416666666666,48
48,09112200,1993-10-06,MDT,127.875,48
48,09112200,1993-10-07,MDT,146.16666666666666,48
48,09112200,1993-10-08,MDT,162.4375,48
48,09112200,1993-10-09,MDT,160.39583333333334,48
48,09112200,1993-10-10,MDT,173.625,48
48,09112200,1993-10-11,MDT,165.3125,48
47,09112200,1993-10-12,MDT,194.31914893617022,47
48,09112200,1993-10-13,MDT,185.97916666666666,48
48,09112200,1993-10-14,MDT,173.35416666666666,48
48,09112200,1993-10-15,MDT,186.47916666666666,48
48,09112200,1993-10-16,MDT,197.8125,48
48,09112200,1993-10-17,MDT,211.9375,48
48,09112200,1993-10-18,MDT,201.10416666666666,48
48,09112200,1993-10-19,MDT,178.58333333333334,48
48,09112200,1993-10-20,MDT,173.52083333333334,48
48,09112200,1993-10-21,MDT,165.16666666666666,48
48,09112200,1993-10-22,MDT,171.3125,48
48,09112200,1993-10-23,MDT,165.75,48
48,09112200,1993-10-24,MDT,160.0,48
48,09112200,1993-10-25,MDT,158.0,48
48,09112200,1993-10-26,MDT,158.29166666666666,48
48,09112200,1993-10-27,MDT,138.0375,48
48,09112200,1993-10-28,MDT,149.97916666666666,48
48,09112200,1993-10-29,MDT,149.3125,48
48,09112200,1993-10-30,MDT,117.24583333333334,48
48,09112200,1993-11-02,MST,116.45416666666667,48
48,09112200,1994-01-24,MST,61.666666666666664,48
48,09112200,1994-01-26,MST,56.583333333333336,48
48,09112200,1994-01-27,MST,56.854166666666664,48
48,09112200,1994-01-28,MST,57.5,48
48,09112200,1994-02-05,MST,52.104166666666664,48
48,09112200,1994-02-07,MST,51.291666666666664,48
48,09112200,1994-02-08,MST,52.020833333333336,48
48,09112200,1994-02-09,MST,48.083333333333336,48
48,09112200,1994-02-10,MST,51.125,48
48,09112200,1994-02-11,MST,52.25,48
48,09112200,1994-02-12,MST,51.145833333333336,48
48,09112200,1994-02-17,MST,52.5625,48
48,09112200,1994-02-18,MST,52.9375,48
48,09112200,1994-02-19,MST,52.958333333333336,48
48,09112200,1994-02-20,MST,52.833333333333336,48
48,09112200,1994-02-21,MST,53.270833333333336,48
48,09112200,1994-02-22,MST,51.854166666666664,48
96,09112200,1994-02-25,MST,53.34375,96
96,09112200,1994-03-03,MST,54.4375,96
96,09112200,1994-03-04,MST,55.197916666666664,96
96,09112200,1994-03-05,MST,57.645833333333336,96
96,09112200,1994-03-06,MST,59.864583333333336,96
96,09112200,1994-03-07,MST,59.052083333333336,96
96,09112200,1994-03-08,MST,58.0,96
96,09112200,1994-03-09,MST,58.0,96
96,09112200,1994-03-10,MST,60.84375,96
96,09112200,1994-03-11,MST,59.791666666666664,96
96,09112200,1994-03-12,MST,62.072916666666664,96
96,09112200,1994-03-13,MST,58.385416666666664,96
96,09112200,1994-03-17,MST,73.8125,96
96,09112200,1994-03-18,MST,69.6875,96
96,09112200,1994-03-19,MST,81.78125,96
96,09112200,1994-03-20,MST,80.08333333333333,96
96,09112200,1994-03-21,MST,69.16666666666667,96
96,09112200,1994-03-22,MST,74.8125,96
96,09112200,1994-03-23,MST,79.34375,96
96,09112200,1994-03-24,MST,76.57291666666667,96
96,09112200,1994-03-25,MST,75.29166666666667,96
96,09112200,1994-03-26,MST,73.26041666666667,96
96,09112200,1994-03-27,MST,67.01041666666667,96
96,09112200,1994-03-28,MST,67.17291666666667,96
96,09112200,1994-03-29,MST,68.85416666666667,96
96,09112200,1994-03-30,MST,64.95208333333333,96
96,09112200,1994-03-31,MST,67.88333333333334,96
96,09112200,1994-04-01,MST,71.39583333333333,96
96,09112200,1994-04-02,MST,79.375,96
92,09112200,1994-04-03,MDT,76.47826086956522,92
96,09112200,1994-04-04,MDT,80.83333333333333,96
96,09112200,1994-04-05,MDT,77.27083333333333,96
96,09112200,1994-04-06,MDT,72.625,96
96,09112200,1994-04-07,MDT,77.65625,96
96,09112200,1994-04-08,MDT,73.08333333333333,96
96,09112200,1994-04-09,MDT,72.8125,96
96,09112200,1994-04-10,MDT,71.375,96
96,09112200,1994-04-11,MDT,65.9375,96
96,09112200,1994-04-12,MDT,66.94791666666667,96
96,09112200,1994-04-13,MDT,77.28125,96
96,09112200,1994-04-14,MDT,95.41250000000001,96
96,09112200,1994-04-15,MDT,98.56041666666665,96
96,09112200,1994-04-16,MDT,121.5479166666667,96
96,09112200,1994-04-17,MDT,163.65625,96
96,09112200,1994-04-18,MDT,203.76041666666666,96
96,09112200,1994-04-19,MDT,255.84375,96
96,09112200,1994-04-20,MDT,352.96875,96
96,09112200,1994-04-21,MDT,563.65625,96
96,09112200,1994-04-22,MDT,747.4791666666666,96
96,09112200,1994-04-23,MDT,808.5,96
96,09112200,1994-04-24,MDT,874.0625,96
96,09112200,1994-04-25,MDT,744.09375,96
96,09112200,1994-04-26,MDT,562.53125,96
96,09112200,1994-04-27,MDT,460.75,96
96,09112200,1994-04-28,MDT,394.1875,96
96,09112200,1994-04-29,MDT,370.7708333333333,96
96,09112200,1994-04-30,MDT,342.6875,96
96,09112200,1994-05-01,MDT,342.8958333333333,96
96,09112200,1994-05-02,MDT,328.3541666666667,96
96,09112200,1994-05-03,MDT,371.1979166666667,96
96,09112200,1994-05-04,MDT,392.6354166666667,96
96,09112200,1994-05-05,MDT,552.125,96
96,09112200,1994-05-06,MDT,756.53125,96
96,09112200,1994-05-07,MDT,965.2916666666666,96
96,09112200,1994-05-08,MDT,1036.3541666666667,96
96,09112200,1994-05-09,MDT,1111.25,96
96,09112200,1994-05-10,MDT,1028.5416666666667,96
96,09112200,1994-05-11,MDT,1017.7604166666666,96
96,09112200,1994-05-12,MDT,1178.5416666666667,96
96,09112200,1994-05-13,MDT,1162.1875,96
96,09112200,1994-05-14,MDT,1205.4166666666667,96
96,09112200,1994-05-15,MDT,1208.4375,96
96,09112200,1994-05-16,MDT,1184.375,96
96,09112200,1994-05-17,MDT,1245.7291666666667,96
96,09112200,1994-05-18,MDT,1257.6041666666667,96
96,09112200,1994-05-19,MDT,1206.875,96
96,09112200,1994-05-20,MDT,1213.0208333333333,96
96,09112200,1994-05-21,MDT,1221.5625,96
96,09112200,1994-05-22,MDT,1245.3125,96
96,09112200,1994-05-23,MDT,1236.25,96
96,09112200,1994-05-24,MDT,1206.875,96
96,09112200,1994-05-25,MDT,1183.5416666666667,96
96,09112200,1994-05-26,MDT,1142.3958333333333,96
96,09112200,1994-05-27,MDT,1183.3333333333333,96
96,09112200,1994-05-28,MDT,1339.6875,96
96,09112200,1994-05-29,MDT,1437.5,96
96,09112200,1994-05-30,MDT,1540.3125,96
96,09112200,1994-05-31,MDT,1694.5833333333333,96
96,09112200,1994-06-01,MDT,1804.1666666666667,96
96,09112200,1994-06-02,MDT,1724.1666666666667,96
96,09112200,1994-06-03,MDT,1660.9375,96
96,09112200,1994-06-04,MDT,1617.6041666666667,96
96,09112200,1994-06-05,MDT,1534.8958333333333,96
96,09112200,1994-06-06,MDT,1463.2291666666667,96
96,09112200,1994-06-07,MDT,1388.6458333333333,96
96,09112200,1994-06-08,MDT,1281.875,96
96,09112200,1994-06-09,MDT,1195.4166666666667,96
96,09112200,1994-06-10,MDT,1154.6875,96
96,09112200,1994-06-11,MDT,1156.3541666666667,96
96,09112200,1994-06-12,MDT,1152.9166666666667,96
96,09112200,1994-06-13,MDT,1156.25,96
96,09112200,1994-06-14,MDT,1092.9791666666667,96
96,09112200,1994-06-15,MDT,1041.7291666666667,96
96,09112200,1994-06-16,MDT,974.5104166666666,96
96,09112200,1994-06-17,MDT,928.6145833333334,96
96,09112200,1994-06-18,MDT,901.8541666666666,96
96,09112200,1994-06-19,MDT,871.0833333333334,96
96,09112200,1994-06-20,MDT,923.9583333333334,96
96,09112200,1994-06-21,MDT,850.1875,96
96,09112200,1994-06-22,MDT,906.3645833333334,96
96,09112200,1994-06-23,MDT,847.6145833333334,96
96,09112200,1994-06-24,MDT,771.7916666666666,96
96,09112200,1994-06-25,MDT,710.7395833333334,96
96,09112200,1994-06-26,MDT,656.21875,96
96,09112200,1994-06-27,MDT,610.3020833333334,96
96,09112200,1994-06-28,MDT,567.0625,96
96,09112200,1994-06-29,MDT,506.0520833333333,96
96,09112200,1994-06-30,MDT,467.2395833333333,96
96,09112200,1994-07-01,MDT,452.0,96
96,09112200,1994-07-02,MDT,426.8541666666667,96
96,09112200,1994-07-03,MDT,398.6354166666667,96
96,09112200,1994-07-04,MDT,388.7395833333333,96
96,09112200,1994-07-05,MDT,363.5208333333333,96
93,09112200,1994-07-06,MDT,333.19354838709677,93
96,09112200,1994-07-07,MDT,314.0,96
96,09112200,1994-07-08,MDT,289.5833333333333,96
96,09112200,1994-07-09,MDT,274.0625,96
96,09112200,1994-07-10,MDT,265.15625,96
96,09112200,1994-07-11,MDT,249.02083333333334,96
96,09112200,1994-07-12,MDT,240.5625,96
96,09112200,1994-07-13,MDT,231.07291666666666,96
96,09112200,1994-07-14,MDT,217.04166666666666,96
96,09112200,1994-07-15,MDT,213.15625,96
96,09112200,1994-07-16,MDT,205.51041666666666,96
96,09112200,1994-07-17,MDT,193.55208333333334,96
96,09112200,1994-07-18,MDT,193.90625,96
96,09112200,1994-07-19,MDT,187.14583333333334,96
96,09112200,1994-07-20,MDT,183.32291666666666,96
96,09112200,1994-07-21,MDT,171.41666666666666,96
96,09112200,1994-07-22,MDT,165.78125,96
96,09112200,1994-07-23,MDT,165.64583333333334,96
96,09112200,1994-07-24,MDT,171.78125,96
95,09112200,1994-07-25,MDT,170.26315789473685,95
96,09112200,1994-07-26,MDT,163.02083333333334,96
96,09112200,1994-07-27,MDT,153.07291666666666,96
96,09112200,1994-07-28,MDT,147.16666666666666,96
96,09112200,1994-07-29,MDT,145.11458333333334,96
96,09112200,1994-07-30,MDT,136.71875,96
96,09112200,1994-07-31,MDT,135.8125,96
96,09112200,1994-08-01,MDT,142.0625,96
96,09112200,1994-08-02,MDT,144.6875,96
96,09112200,1994-08-03,MDT,137.40625,96
96,09112200,1994-08-04,MDT,117.69791666666667,96
96,09112200,1994-08-05,MDT,110.16666666666667,96
96,09112200,1994-08-06,MDT,114.61458333333333,96
96,09112200,1994-08-07,MDT,114.63541666666667,96
96,09112200,1994-08-08,MDT,111.35416666666667,96
96,09112200,1994-08-09,MDT,110.0,96
96,09112200,1994-08-10,MDT,110.0,96
96,09112200,1994-08-11,MDT,105.25,96
96,09112200,1994-08-12,MDT,111.0,96
96,09112200,1994-08-13,MDT,113.72916666666667,96
96,09112200,1994-08-14,MDT,115.76041666666667,96
96,09112200,1994-08-15,MDT,119.58333333333333,96
96,09112200,1994-08-16,MDT,109.10416666666667,96
96,09112200,1994-08-17,MDT,105.47916666666667,96
96,09112200,1994-08-18,MDT,103.83333333333333,96
96,09112200,1994-08-19,MDT,106.5,96
96,09112200,1994-08-20,MDT,110.08333333333333,96
96,09112200,1994-08-21,MDT,111.63541666666667,96
96,09112200,1994-08-22,MDT,108.70833333333333,96
96,09112200,1994-08-23,MDT,91.64375000000003,96
96,09112200,1994-08-24,MDT,70.52083333333333,96
96,09112200,1994-08-25,MDT,66.33333333333333,96
96,09112200,1994-08-26,MDT,76.15625,96
