Date,Discharge,SWE_380,Pr_Acc_380,Temp_Max_380,Temp_Min_380,Temp_Ave_380,Pr_Inc_380,SWE_737,Pr_Acc_737,Temp_Max_737,Temp_Min_737,Temp_Ave_737,Pr_Inc_737
1,140.8085106382979,0.0,0.0,38.0,48.0,47.0,0.0,0.0,0.0,55.18181818181818,30.818181818181817,40.57575757575758,0.0
2,138.125,0.0,0.0,56.57575757575758,36.121212121212125,44.121212121212125,0.0,0.0,0.0,52.3125,30.84375,39.46875,0.0
3,135.875,0.0,0.0,54.96969696969697,34.45454545454545,42.84848484848485,0.0,0.0,0.0,51.696969696969695,29.272727272727273,38.75757575757576,0.0
4,133.08333333333334,0.0,0.0,52.57575757575758,32.36363636363637,40.36363636363637,0.1,0.0,0.0,48.90909090909091,28.242424242424242,36.60606060606061,0.4
5,129.10416666666666,0.0,0.1,52.0,32.9375,40.15625,0.0,0.0,0.4,49.15151515151515,26.90909090909091,36.09090909090909,0.0
6,127.875,0.0,0.1,51.60606060606061,31.96969696969697,39.93939393939394,0.2,0.0,0.4,54.878787878787875,32.54545454545455,42.0,0.2
7,146.16666666666666,0.0,0.3,53.121212121212125,30.818181818181817,39.96875,0.2,0.0,0.6,49.24242424242424,25.484848484848484,35.27272727272727,0.4
8,162.4375,0.0,0.5,53.878787878787875,30.818181818181817,40.25,0.0,0.4,1.0,49.06060606060606,26.03030303030303,35.15151515151515,0.0
9,160.39583333333334,0.0,0.5,51.4375,30.65625,38.90625,0.3,0.5,1.0,49.84375,25.46875,35.34375,0.6
10,173.625,0.0,0.8,50.90625,31.6875,39.34375,0.2,1.0,1.6,51.5,27.0,36.46875,0.6
11,165.3125,0.0,1.0,52.09375,31.96875,40.0625,0.0,1.7,2.2,49.72727272727273,27.484848484848484,36.54545454545455,0.2
12,194.31914893617022,0.0,1.0,51.774193548387096,30.70967741935484,39.29032258064516,0.0,1.8,2.4,38.0,29.0,32.0,0.4
13,185.97916666666663,0.0,1.0,50.625,30.03125,38.4375,0.1,1.9,2.8,45.0,20.0,32.0,0.2
14,173.35416666666663,0.0,1.1,43.0,31.0,34.0,0.2,2.0,3.0,44.0,29.0,33.0,0.4
15,186.47916666666663,0.1,1.3,41.0,30.0,33.0,0.1,2.3,3.4,50.24242424242424,24.939393939393938,34.75757575757576,0.8
16,197.8125,0.1,1.4,40.0,28.0,31.0,0.4,3.2,4.2,42.0,26.0,30.0,0.3
17,211.9375,0.4,1.8,49.483870967741936,28.870967741935484,37.12903225806452,0.2,3.2,4.5,39.0,24.0,28.0,0.5
18,201.10416666666663,0.6,2.0,37.0,21.0,28.0,0.1,3.7,5.0,46.0,16.0,27.0,0.3
19,178.58333333333337,0.7,2.1,42.0,18.0,27.0,0.1,4.0,5.3,43.0,11.0,24.0,0.0
20,173.52083333333337,0.8,2.2,42.0,21.0,29.0,0.0,4.0,5.3,44.0,14.0,24.0,0.0
21,165.16666666666666,0.6,2.2,46.96875,27.78125,35.46875,0.0,4.0,5.3,54.0,15.0,28.0,0.0
22,171.3125,0.6,2.2,48.0,28.0,36.0,0.0,4.0,5.3,52.0,22.0,32.0,0.0
23,165.75,0.6,2.2,51.0,28.0,36.0,0.0,4.0,5.3,55.0,20.0,31.0,0.0
24,160.0,0.5,2.2,51.0,27.0,36.0,0.0,4.0,5.3,54.0,21.0,31.0,0.0
25,158.0,0.5,2.2,52.0,28.0,36.0,0.0,4.0,5.3,53.0,20.0,30.0,0.0
26,158.29166666666666,0.5,2.2,33.0,16.0,25.0,0.2,4.0,5.3,33.0,8.0,21.0,0.0
27,138.0375,0.5,2.4,39.0,12.0,24.0,0.0,4.0,5.3,42.0,5.0,21.0,0.0
28,149.97916666666666,0.4,2.4,39.0,23.0,28.0,0.0,4.0,5.3,40.0,15.0,24.0,0.0
29,149.3125,0.4,2.4,27.0,6.0,17.0,0.0,4.0,5.3,24.0,-4.0,13.0,0.1
30,117.24583333333334,0.4,2.4,36.0,3.0,19.0,0.1,4.1,5.4,42.59375,21.0,29.78125,0.0
31,105.83402500000003,0.7,2.5,42.193548387096776,25.29032258064516,32.29032258064516,0.0,4.1,5.4,40.696969696969695,20.848484848484848,28.90909090909091,0.0
32,103.94712333333332,0.5,2.5,40.0,17.0,29.0,0.0,4.1,5.4,38.0,11.0,24.0,0.1
33,116.45416666666668,0.5,2.5,34.0,12.0,21.0,0.0,4.1,5.5,33.0,0.0,15.0,0.0
34,100.17703640350878,0.4,2.5,38.0,19.0,28.0,0.0,4.1,5.5,39.0,12.0,25.0,0.0
35,99.83087666666668,0.4,2.5,29.0,15.0,23.0,0.2,4.0,5.5,29.0,9.0,20.0,0.1
36,99.28041145833333,0.5,2.7,39.03225806451613,22.29032258064516,29.35483870967742,0.1,4.0,5.6,22.0,-1.0,10.0,0.1
37,96.82022743055558,0.5,2.8,29.0,1.0,16.0,0.0,4.0,5.7,35.0,-6.0,13.0,0.1
38,96.2327871675426,0.4,2.8,33.0,15.0,21.0,0.0,4.1,5.8,33.0,6.0,17.0,0.0
39,97.738255393026,0.3,2.8,34.0,14.0,22.0,0.0,4.2,5.8,36.0,9.0,19.0,0.0
40,97.3370018115942,0.2,2.8,36.0,15.0,24.0,0.0,4.2,5.8,41.0,4.0,17.0,0.0
41,94.94958124303231,0.1,2.8,42.0,18.0,28.0,0.0,4.2,5.8,42.0,11.0,26.0,0.0
42,93.33908514492754,0.1,2.8,39.0,22.0,30.0,1.0,4.5,5.8,35.0,20.0,28.0,0.8
43,96.89614563185042,1.2,3.8,25.0,16.0,21.0,0.5,5.5,6.6,29.0,15.0,21.0,0.7
44,92.3509555785124,1.8,4.3,30.0,11.0,20.0,0.1,6.1,7.3,29.0,9.0,18.0,0.2
45,92.38235780423281,1.9,4.4,25.0,13.0,19.0,0.1,6.2,7.5,25.0,8.0,17.0,0.2
46,86.99381613756614,2.1,4.5,29.0,9.0,16.0,0.0,6.3,7.7,39.0,0.0,13.0,0.0
47,87.10480002088553,2.2,4.5,29.0,10.0,17.0,0.0,6.3,7.7,41.0,1.0,13.0,0.0
48,87.56207678993586,2.2,4.5,33.0,12.0,21.0,0.0,6.3,7.7,42.0,8.0,18.0,0.0
49,87.26699561403511,2.2,4.5,29.0,13.0,21.0,0.2,6.3,7.7,30.0,10.0,20.0,0.3
50,84.81969735638035,2.3,4.7,36.96875,18.4375,26.03125,0.0,6.6,8.0,32.0,-4.0,9.0,0.1
51,87.53037600267379,2.3,4.7,32.0,9.0,18.0,0.0,6.6,8.1,41.0,3.0,14.0,0.0
52,87.63281127258445,2.3,4.7,35.0,13.0,22.0,0.0,6.6,8.1,46.0,5.0,21.0,0.0
53,87.53327205882353,2.3,4.7,30.0,22.0,27.0,0.9,6.9,8.1,29.0,20.0,26.0,1.6
54,84.18969298245617,3.2,5.6,30.0,18.0,26.0,0.4,8.6,9.7,29.0,16.0,24.0,1.4
55,82.76259385221529,3.6,6.0,18.0,-4.0,5.0,0.0,9.8,11.1,16.0,-4.0,3.0,0.2
56,82.07804487179487,3.7,6.0,2.0,-5.0,-3.0,0.1,10.0,11.3,3.0,-8.0,-5.0,0.0
57,80.41493055555556,3.7,6.1,33.8125,14.625,22.59375,0.0,10.0,11.3,16.0,-7.0,0.0,0.3
58,81.20795572916667,3.7,6.1,21.0,4.0,13.0,0.1,10.1,11.6,27.0,-7.0,7.0,0.0
59,79.39134114583334,3.7,6.2,33.0,13.0,23.0,0.0,10.2,11.6,45.0,5.0,20.0,0.0
60,77.09687500000001,3.7,6.2,29.25,13.242424242424242,20.666666666666668,0.0,10.4,11.6,39.0,12.0,21.0,0.1
61,76.04554881698665,3.7,6.2,36.0,16.0,22.0,0.0,10.4,11.7,40.0,13.0,21.0,0.1
62,77.7025641025641,3.7,6.2,26.0,14.0,19.0,0.1,10.7,11.8,31.0,6.0,16.0,0.1
63,78.37821969696971,3.7,6.3,29.0,8.0,17.0,0.0,10.7,11.9,27.0,-1.0,12.0,0.2
64,79.20684966914807,3.7,6.3,19.0,4.0,10.0,0.0,11.0,12.1,19.0,-5.0,6.0,0.0
65,75.0547371031746,3.7,6.3,29.0,7.0,18.0,0.1,11.1,12.1,38.0,3.0,18.0,0.0
66,68.42689892344501,3.8,6.4,25.0,10.0,15.0,0.0,11.1,12.1,29.0,3.0,12.0,0.1
67,67.97580337690631,3.8,6.4,26.0,11.0,18.0,0.1,11.1,12.2,28.0,10.0,17.0,0.1
68,71.51456749231953,3.8,6.5,24.0,10.0,17.0,0.0,11.5,12.3,32.0,1.0,14.0,0.1
69,70.12526737967914,3.9,6.5,28.15625,10.46875,18.65625,0.0,11.5,12.4,39.0,17.0,26.0,0.0
70,68.37403143274855,3.9,6.5,26.53125,10.25,17.25,0.0,11.5,12.4,29.90625,5.5625,15.09375,0.0
71,72.84006775582574,3.9,6.5,35.0,17.0,24.0,0.0,11.5,12.4,42.0,9.0,20.0,0.0
72,68.05381410256413,3.9,6.5,39.0,23.0,29.0,0.1,11.5,12.4,46.0,19.0,29.0,0.0
73,70.19878472222226,3.9,6.6,28.0,9.0,20.0,0.3,11.6,12.4,27.0,8.0,18.0,0.6
74,66.16395833333334,4.2,6.9,18.0,3.0,9.0,0.0,12.2,13.0,20.0,-3.0,5.0,0.1
75,66.47696759259257,4.2,6.9,27.65625,9.59375,17.125,0.0,12.2,13.1,40.0,4.0,16.0,0.1
76,60.86622248427672,4.2,6.9,31.0,10.0,18.0,0.1,12.3,13.2,25.0,7.0,14.0,0.1
77,59.54124999999999,4.3,7.0,14.0,5.0,9.0,0.1,12.4,13.3,15.0,2.0,8.0,0.3
78,60.65692833549925,4.4,7.1,17.0,0.0,6.0,0.1,12.7,13.6,22.0,-6.0,4.0,0.0
79,68.4789285714286,4.5,7.2,23.0,2.0,10.0,0.0,12.7,13.6,29.0,-1.0,7.0,0.0
80,65.93725142045457,4.5,7.2,21.0,4.0,12.0,0.0,12.8,13.6,21.0,-7.0,11.0,0.2
81,65.98687465370763,4.5,7.2,15.0,-1.0,6.0,0.1,12.8,13.8,29.0,-11.0,2.0,0.2
82,66.4625,4.5,7.3,22.0,2.0,9.0,0.0,12.9,14.0,29.0,-5.0,7.0,0.0
83,66.26534185453572,4.5,7.3,12.0,-3.0,5.0,0.0,13.0,14.0,17.0,-15.0,1.0,0.0
84,66.27976190476191,4.5,7.3,13.0,-3.0,5.0,0.0,13.2,14.0,13.0,-12.0,2.0,0.1
85,54.43156666666666,4.6,7.3,20.0,-3.0,9.0,0.0,13.2,14.1,20.0,-11.0,6.0,0.0
86,71.52208333333334,4.7,7.3,30.0,8.0,20.0,0.1,13.2,14.1,37.0,4.0,15.0,0.0
87,64.8792545180723,4.7,7.4,35.0,19.0,26.0,0.0,13.2,14.1,41.0,13.0,27.0,0.0
88,58.266388888888876,4.7,7.4,26.0,18.0,21.0,0.2,13.4,14.1,29.21212121212121,3.6666666666666665,13.303030303030303,0.3
