Date,Discharge,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in),Snowmelt
1,140.8085106,0,0,38,48,47,0,0
2,138.125,0,0,56.57575758,36.12121212,44.12121212,0,0
3,135.875,0,0,54.96969697,34.45454545,42.84848485,0,0
4,133.0833333,0,0,52.57575758,32.36363636,40.36363636,0.1,0
5,129.1041667,0,0.1,52,32.9375,40.15625,0,0
6,127.875,0,0.1,51.60606061,31.96969697,39.93939394,0.2,0
7,146.1666667,0,0.3,53.12121212,30.81818182,39.96875,0.2,0
8,162.4375,0,0.5,53.87878788,30.81818182,40.25,0,0
9,160.3958333,0,0.5,51.4375,30.65625,38.90625,0.3,0
10,173.625,0,0.8,50.90625,31.6875,39.34375,0.2,0
11,165.3125,0,1,52.09375,31.96875,40.0625,0,0
12,194.3191489,0,1,51.77419355,30.70967742,39.29032258,0,0
13,185.9791667,0,1,50.625,30.03125,38.4375,0.1,0
14,173.3541667,0,1.1,43,31,34,0.2,0.1
15,186.4791667,0.1,1.3,41,30,33,0.1,0
16,197.8125,0.1,1.4,40,28,31,0.4,0.3
17,211.9375,0.4,1.8,49.48387097,28.87096774,37.12903226,0.2,0.2
18,201.1041667,0.6,2,37,21,28,0.1,0.1
19,178.5833333,0.7,2.1,42,18,27,0.1,0.1
20,173.5208333,0.8,2.2,42,21,29,0,-0.2
21,165.1666667,0.6,2.2,46.96875,27.78125,35.46875,0,0
22,171.3125,0.6,2.2,48,28,36,0,0
23,165.75,0.6,2.2,51,28,36,0,-0.1
24,160,0.5,2.2,51,27,36,0,0
25,158,0.5,2.2,52,28,36,0,0
26,158.2916667,0.5,2.2,33,16,25,0.2,0
27,138.0375,0.5,2.4,39,12,24,0,-0.1
28,149.9791667,0.4,2.4,39,23,28,0,0
29,149.3125,0.4,2.4,27,6,17,0,0
30,117.2458333,0.4,2.4,36,3,19,0.1,0.3
31,105.834025,0.7,2.5,42.19354839,25.29032258,32.29032258,0,-0.2
32,103.9471233,0.5,2.5,40,17,29,0,0
33,116.4541667,0.5,2.5,34,12,21,0,-0.1
34,100.1770364,0.4,2.5,38,19,28,0,0
35,99.83087667,0.4,2.5,29,15,23,0.2,0.1
36,99.28041146,0.5,2.7,39.03225806,22.29032258,29.35483871,0.1,0
37,96.82022743,0.5,2.8,29,1,16,0,-0.1
38,96.23278717,0.4,2.8,33,15,21,0,-0.1
39,97.73825539,0.3,2.8,34,14,22,0,-0.1
40,97.33700181,0.2,2.8,36,15,24,0,-0.1
41,94.94958124,0.1,2.8,42,18,28,0,0
42,93.33908514,0.1,2.8,39,22,30,1,1.1
43,96.89614563,1.2,3.8,25,16,21,0.5,0.6
44,92.35095558,1.8,4.3,30,11,20,0.1,0.1
45,92.3823578,1.9,4.4,25,13,19,0.1,0.2
46,86.99381614,2.1,4.5,29,9,16,0,0.1
47,87.10480002,2.2,4.5,29,10,17,0,0
48,87.56207679,2.2,4.5,33,12,21,0,0
49,87.26699561,2.2,4.5,29,13,21,0.2,0.1
50,84.81969736,2.3,4.7,36.96875,18.4375,26.03125,0,0
51,87.530376,2.3,4.7,32,9,18,0,0
52,87.63281127,2.3,4.7,35,13,22,0,0
53,87.53327206,2.3,4.7,30,22,27,0.9,0.9
54,84.18969298,3.2,5.6,30,18,26,0.4,0.4
55,82.76259385,3.6,6,18,-4,5,0,0.1
56,82.07804487,3.7,6,2,-5,-3,0.1,0
57,80.41493056,3.7,6.1,33.8125,14.625,22.59375,0,0
