Date,Discharge,SWE_380,Pr_Acc_380,Temp_Max_380,Temp_Min_380,Temp_Ave_380,Pr_Inc_380,SWE_737,Pr_Acc_737,Temp_Max_737,Temp_Min_737,Temp_Ave_737,Pr_Inc_737,Temp_Max_380_soil,Temp_Min_380_soil,Pr_Inc_380_soil,Soil_Moi_-2in_380,Soil_Temp_-2in_380,Soil_Temp_-8in_380,Soil_Temp_-20in_380
1,117.59375,0.0,14.6,71.51612903225806,45.41935483870968,55.70967741935484,0.0,0.0,26.8,76.0,40.0,57.0,0.0,72.8125,47.75,0.0,0.4,68.0,62.0,60.0
2,117.72916666666669,0.0,14.6,69.21875,45.71875,54.8125,0.1,0.0,26.8,77.0,39.0,58.0,0.0,71.6875,47.75,0.1,0.1,68.0,64.0,60.0
3,110.45833333333331,0.0,14.7,71.53125,46.34375,56.3125,0.0,0.0,26.8,77.0,42.0,59.0,0.0,72.3125,48.5,0.0,0.1,70.0,66.0,61.0
4,108.125,0.0,14.7,70.09375,46.78125,56.0,0.0,0.0,26.8,73.0,44.0,57.0,0.0,73.375,49.1875,0.0,0.0,68.0,66.0,62.0
5,100.33333333333331,0.0,14.7,71.65625,46.15625,56.09375,0.0,0.0,26.8,77.0,42.0,56.0,0.0,72.8125,48.125,0.0,0.0,68.0,65.0,62.0
6,89.47916666666669,0.0,14.7,71.0,46.34375,56.21875,0.0,0.0,26.8,71.0,41.0,54.0,0.0,73.4375,48.75,0.0,0.0,68.0,65.0,62.0
7,86.29166666666669,0.0,14.7,70.78125,46.875,56.9375,0.0,0.0,26.8,71.0,41.0,52.0,0.0,73.125,49.3125,0.0,0.0,67.0,64.0,62.0
8,83.5,0.0,14.7,70.93548387096774,47.61290322580645,56.61290322580645,0.2,0.0,26.8,76.0,41.0,56.0,0.0,73.9375,49.6875,0.2,0.0,68.0,64.0,62.0
9,80.9375,0.0,14.9,71.53125,46.875,56.71875,0.0,0.0,26.8,80.0,41.0,57.0,0.0,72.8125,49.5625,0.0,0.0,71.0,66.0,62.0
10,77.89583333333333,0.0,14.9,72.5625,46.375,56.5,0.0,0.0,26.8,68.0,39.0,51.0,0.0,74.75,49.1875,0.0,0.0,70.0,67.0,63.0
11,76.6875,0.0,14.9,70.59375,46.875,56.34375,0.0,0.0,26.8,72.0,38.0,54.0,0.0,72.3125,48.9375,0.0,0.0,68.0,65.0,63.0
12,77.95833333333333,0.0,14.9,72.51612903225806,47.25806451612903,57.32258064516129,0.0,0.0,26.8,67.0,43.0,52.0,0.0,73.9375,48.9375,0.0,0.0,68.0,65.0,63.0
13,86.10416666666669,0.0,14.9,72.48387096774194,47.096774193548384,56.67741935483871,0.2,0.0,26.8,67.0,41.0,51.0,0.0,74.125,49.5,0.2,0.0,66.0,64.0,62.0
14,80.58333333333333,0.0,15.1,68.71875,46.233333333333334,55.483870967741936,0.0,0.0,26.8,75.0,39.0,56.0,0.0,68.35294117647061,49.06666666666667,0.0,0.0,68.0,64.0,62.0
15,79.02083333333333,0.0,15.1,70.21875,46.03125,55.34375,0.0,0.0,26.8,67.0,42.0,52.0,0.0,71.375,48.4375,0.0,0.0,67.0,65.0,62.0
16,95.04166666666669,0.0,15.1,68.53125,46.1875,54.84375,0.0,0.0,26.8,65.0,38.0,47.0,0.4,68.375,48.0,0.0,0.0,66.0,63.0,62.0
17,93.9375,0.0,15.1,71.26666666666667,45.6,55.56666666666667,0.0,0.0,27.2,66.0,36.0,48.0,0.1,70.8,47.33333333333334,0.0,0.0,66.0,63.0,62.0
18,84.83333333333333,0.0,15.1,69.96774193548387,46.774193548387096,55.645161290322584,0.2,0.0,27.3,65.0,37.0,50.0,0.1,69.73333333333333,47.66666666666666,0.2,0.0,67.0,64.0,62.0
19,80.41666666666667,0.0,15.3,70.09375,46.46875,55.5625,0.0,0.0,27.4,74.0,37.0,54.0,0.0,70.5,47.3125,0.0,0.0,69.0,64.0,62.0
20,74.375,0.0,15.3,70.65625,46.09375,55.625,0.2,0.0,27.4,79.0,42.0,58.0,0.0,71.4375,47.5625,0.2,0.0,70.0,66.0,62.0
21,73.75,0.0,15.5,70.375,46.59375,55.625,0.0,0.0,27.4,78.0,42.0,59.0,0.0,71.375,48.0625,0.0,0.0,72.0,67.0,63.0
22,73.3125,0.0,15.5,70.06451612903226,45.87096774193548,54.96774193548387,0.0,0.0,27.4,69.0,45.0,54.0,0.0,69.1875,47.875,0.0,0.0,68.0,67.0,64.0
23,76.125,0.0,15.5,70.3225806451613,46.193548387096776,55.41935483870968,0.0,0.0,27.4,63.0,45.0,52.0,0.3,70.5,48.0625,0.0,0.0,66.0,65.0,63.0
24,78.70833333333333,0.0,15.5,68.93548387096774,46.16129032258065,54.70967741935484,0.0,0.0,27.7,60.0,41.0,48.0,0.2,67.8125,47.9375,0.0,0.0,65.0,63.0,63.0
25,78.91666666666667,0.0,15.5,68.45161290322581,45.54838709677419,54.32258064516129,0.0,0.0,27.9,67.0,39.0,51.0,0.0,69.0,46.875,0.0,0.0,63.0,62.0,62.0
26,75.70833333333333,0.0,15.5,69.0,45.096774193548384,54.41935483870968,0.0,0.0,27.9,61.0,42.0,51.0,0.0,67.3125,46.75,0.0,0.0,63.0,62.0,62.0
27,81.85416666666667,0.0,15.5,68.7741935483871,45.25806451612903,54.03225806451613,0.0,0.0,27.9,63.0,42.0,50.0,0.0,69.0625,47.0625,0.0,0.0,62.0,61.0,61.0
28,88.45833333333331,0.0,15.5,67.15625,45.71875,54.21875,0.0,0.0,27.9,60.0,39.0,45.0,0.2,68.4375,47.4375,0.0,8.1,58.0,60.0,61.0
29,100.59375,0.0,15.5,69.125,45.34375,55.375,0.1,0.0,28.1,67.0,39.0,50.0,0.1,68.25,46.5,0.1,15.4,54.0,58.0,60.0
30,85.25,0.0,15.6,69.0,45.71875,54.78125,0.0,0.0,28.2,68.0,38.0,51.0,0.0,70.25,46.625,0.0,14.007142857142858,85.46666666666667,51.28571428571429,45.33333333333334
31,73.375,0.0,15.6,67.84375,45.34375,53.96875,0.1,0.0,28.2,71.0,36.0,52.0,0.1,69.1875,46.9375,0.1,13.242857142857144,83.46666666666667,50.85714285714285,45.2
32,67.39583333333333,0.0,15.7,69.06451612903226,44.87096774193548,54.096774193548384,0.0,0.0,28.3,71.0,37.0,53.0,0.0,69.9375,46.375,0.0,13.021428571428572,83.73333333333333,50.64285714285714,45.13333333333333
33,63.55208333333334,0.0,15.7,69.3225806451613,44.483870967741936,54.25806451612903,0.0,0.0,28.3,71.0,39.0,54.0,0.1,70.1875,46.375,0.0,14.164285714285715,86.13333333333334,50.64285714285714,45.4
34,58.89583333333334,0.0,15.7,69.03225806451613,44.483870967741936,54.61290322580645,0.0,0.0,28.4,63.0,34.0,48.0,0.0,69.0,46.625,0.0,13.964285714285714,90.13333333333334,51.4,45.46666666666667
35,58.33333333333334,0.0,15.7,68.87096774193549,44.25806451612903,53.74193548387097,0.0,0.0,28.4,71.0,37.0,52.0,0.0,68.9375,46.6875,0.0,13.207142857142857,90.8,51.66666666666666,45.8
36,53.88541666666666,0.0,15.7,70.25806451612904,44.16129032258065,54.41935483870968,0.0,0.0,28.4,76.0,37.0,55.0,0.0,69.9375,46.75,0.0,13.646666666666667,96.875,51.25,45.6875
37,51.84375,0.0,15.7,67.83870967741936,44.67741935483871,53.645161290322584,0.0,0.0,28.4,77.0,41.0,56.0,0.0,69.1875,46.0625,0.0,12.873333333333333,92.3125,50.8125,45.1875
38,49.01041666666666,0.0,15.7,69.2258064516129,44.45161290322581,54.0,0.0,0.0,28.4,75.0,41.0,56.0,0.0,68.4375,45.5,0.0,13.06875,88.94117647058823,52.70588235294117,47.647058823529406
39,47.10416666666666,0.0,15.7,66.96875,44.41935483870968,54.0,0.0,0.0,28.4,73.0,43.0,55.0,0.0,65.35294117647061,46.0,0.0,13.23125,89.52941176470587,52.235294117647065,47.0
40,48.65625,0.0,15.7,66.90322580645162,45.12903225806452,50.483870967741936,0.1,0.0,28.4,72.0,41.0,55.0,0.1,67.8125,45.9375,0.1,12.7625,88.23529411764706,51.58823529411765,47.0
41,54.40625,0.0,15.8,68.58064516129032,45.225806451612904,51.03225806451613,0.1,0.0,28.5,53.0,40.0,44.0,0.4,69.625,46.25,0.1,12.23125,86.41176470588233,50.647058823529406,47.11764705882353
42,71.15625,0.0,15.9,68.96774193548387,44.45161290322581,53.58064516129032,0.0,0.0,28.9,58.0,36.0,44.0,0.1,70.5,46.125,0.0,11.7125,84.94117647058823,50.470588235294116,45.529411764705884
43,67.625,0.0,15.9,66.48387096774194,44.61290322580645,52.67741935483871,0.0,0.0,29.0,64.0,36.0,47.0,0.0,68.125,46.6875,0.0,11.500000000000002,84.11764705882355,50.17647058823529,46.8125
44,60.60416666666666,0.0,15.9,66.13333333333334,44.03333333333333,52.36666666666667,0.0,0.0,29.0,66.0,37.0,51.0,0.0,67.26666666666667,46.0,0.0,11.5875,85.05882352941177,50.17647058823529,46.625
45,56.90625,0.0,15.9,66.56666666666666,43.56666666666667,52.43333333333333,0.0,0.0,29.0,67.0,36.0,49.0,0.0,66.53333333333333,44.73333333333333,0.0,12.473333333333331,87.0,49.5,46.2
46,52.79166666666666,0.0,15.9,67.9,43.63333333333333,52.266666666666666,0.0,0.0,29.0,70.0,36.0,51.0,0.0,67.46666666666667,45.0,0.0,11.846666666666668,84.5625,49.0625,46.06666666666667
47,52.05208333333334,0.0,15.9,67.73333333333333,43.36666666666667,52.8,0.0,0.0,29.0,73.0,38.0,54.0,0.1,67.0,45.2,0.0,12.059999999999999,87.3125,49.5625,46.25
48,49.79166666666666,0.0,15.9,66.63333333333334,43.36666666666667,57.0,0.0,0.0,29.1,71.0,40.0,53.0,0.0,64.06666666666666,44.6,0.0,1.2,69.0,64.0,61.0
49,46.65625,0.0,15.9,94.0,45.0,54.0,0.0,0.0,29.1,65.0,38.0,50.0,0.0,94.0,45.0,0.0,0.5,63.0,63.0,61.0
